time,V(101),V(102),V(103),V(104),V(107),V(106),V(108),V(110),V(114),V(111),V(115),V(129),V(109),V(139),V(149),V(154),V(164),V(112),V(212),V(113),V(213)
1.25e-09,3,2.76626,2.77997,1.41698,0.756677,1.00369,0.764839,0.601259,0.00442347,0.591201,0.00456863,0.00439387,0.00378616,0.00433765,0.00315392,1.42426,1,0.6,0,0.59,-0.01
1.3e-09,3,2.75823,2.77133,1.52142,0.86737,1.00399,0.874043,0.601099,0.00484825,0.593696,0.00504668,0.00485216,0.00424468,0.00481035,0.00321566,1.52578,1,0.6,0,0.592664,-0.00982287
1.35e-09,3,2.76947,2.78016,1.58397,0.945659,1.00349,0.950672,0.600778,0.00521509,0.596225,0.00545309,0.00524364,0.00463788,0.00521767,0.00329617,1.58555,1,0.6,0,0.59552,-0.00929777
1.4e-09,3,2.79329,2.80074,1.59984,0.983656,1.00241,0.986798,0.600376,0.00549591,0.598702,0.00575735,0.00554219,0.0049392,0.00553248,0.00338917,1.59882,1,0.6,0,0.598402,-0.00844329
1.45e-09,3,2.82409,2.82806,1.56792,0.978606,1.00098,0.979617,0.599945,0.00567187,0.601022,0.00593969,0.00573045,0.00513098,0.00573646,0.00348776,1.56453,1,0.6,0,0.601154,-0.0072897
1.5e-09,3,2.85747,2.85807,1.49085,0.931831,0.999423,0.930394,0.599526,0.00573478,0.603085,0.00599222,0.00580038,0.00520484,0.00582061,0.00358495,1.48541,1,0.6,0,0.603633,-0.00587786
1.55e-09,3,2.88982,2.88748,1.37479,0.848122,0.997902,0.843831,0.599155,0.00568584,0.604807,0.00591777,0.00575315,0.00516166,0.00578537,0.0036742,1.36774,1,0.6,0,0.605722,-0.0042578
1.6e-09,3,2.91831,2.91368,1.22898,0.735001,0.996559,0.727325,0.598858,0.00553444,0.606127,0.0057285,0.00559855,0.0050109,0.00563993,0.00374986,1.22088,1,0.6,0,0.607336,-0.00248691
1.65e-09,3,2.94026,2.93501,1.065,0.601808,0.995504,0.590696,0.598655,0.005297,0.607018,0.00544538,0.00535381,0.00476957,0.00540124,0.00380758,1.05647,1,0.6,0,0.60842,-0.000627912
1.7e-09,3,2.92765,2.93034,0.896359,0.494152,0.995307,0.482691,0.598901,0.00506522,0.607844,0.00516989,0.00506781,0.00448372,0.00511849,0.00384585,0.887572,1,0.6,0,0.608958,0.00125333
1.75e-09,3,2.8878,2.8969,0.736728,0.440044,0.996262,0.429501,0.599431,0.00483079,0.608407,0.00488678,0.00478256,0.00419558,0.00483353,0.00386565,0.727606,1,0.6,0,0.608968,0.00309016
1.8e-09,3,2.85395,2.86567,0.598151,0.417513,0.997661,0.408258,0.599751,0.0045509,0.608271,0.00455787,0.00450594,0.00391626,0.00455443,0.00386851,0.589272,1,0.6,0,0.608499,0.00481753
1.85e-09,3,2.8352,2.84729,0.491072,0.409867,0.998831,0.401782,0.599903,0.00427879,0.607559,0.00424097,0.00424399,0.00365223,0.00428759,0.00385627,0.483555,1,0.6,0,0.607628,0.00637423
1.9e-09,3,2.82945,2.84073,0.423934,0.408783,0.99962,0.401816,0.59997,0.0040324,0.606456,0.003958,0.00400455,0.00341112,0.00404147,0.00383107,0.418851,1,0.6,0,0.606452,0.00770512
1.95e-09,3,2.83241,2.84228,0.4022,0.410556,1.0001,0.404745,0.6,0.00381854,0.60512,0.00371749,0.00379571,0.0032009,0.00382482,0.0037954,0.400297,1,0.6,0,0.605082,0.00876303
2e-09,3,2.84043,2.84856,0.427731,0.41354,1.00036,0.40895,0.600013,0.00364289,0.603686,0.00352605,0.00362462,0.00302872,0.00364547,0.00375201,0.429365,1,0.6,0,0.603633,0.00951055
2.05e-09,3,2.85087,2.85711,0.498597,0.416922,1.00048,0.41359,0.600017,0.00351043,0.602274,0.00338881,0.00349688,0.00290016,0.00350967,0.00370379,0.503751,1,0.6,0,0.602216,0.00992114
2.1e-09,3,2.86183,2.86619,0.609222,0.420218,1.00051,0.418121,0.600017,0.00342464,0.600987,0.00330854,0.00341607,0.00281884,0.00342157,0.0036537,0.617545,1,0.6,0,0.600932,0.00998027
2.15e-09,3,2.87193,2.87454,0.750849,0.423077,1.00046,0.42212,0.600013,0.00338693,0.599909,0.00328525,0.0033835,0.00278606,0.00338292,0.00360459,0.761711,1,0.6,0,0.599863,0.00968583
2.2e-09,3,2.87252,2.8736,0.912409,0.437268,1.00052,0.437279,0.600125,0.00342005,0.599219,0.00333966,0.00340649,0.00280824,0.00340139,0.00355951,0.924799,1,0.6,0,0.599068,0.00904827
2.25e-09,3,2.8447,2.84534,1.08158,0.49761,1.0012,0.498158,0.600581,0.00356605,0.599176,0.00351081,0.00350721,0.00290543,0.00349928,0.00352249,1.09386,1,0.6,0,0.59858,0.00809017
2.3e-09,3,2.80426,2.80547,1.24489,0.601229,1.0024,0.60214,0.601014,0.00375442,0.599424,0.00372695,0.00368156,0.00307541,0.00367252,0.00349718,1.25547,1,0.6,0,0.598402,0.00684548
