time,V(103),V(101),V(102),V(107),V(104),V(115),V(116),V(117),V(118),I(VDD),I(Vin),I(L1),I(L2)
2.100000000e-08,3.000000000e+00,3.437165579e+00,3.437102599e+00,5.934570333e-03,2.950379655e+00,2.949787832e+00,2.949787834e+00,2.949303260e+00,2.949303261e+00,-3.071375533e-05,-9.735179571e-06,2.072311499e-05,1.089567278e-05
2.200000000e-08,3.000000000e+00,3.464573920e+00,3.464516836e+00,4.666793656e-03,2.956235188e+00,2.955715642e+00,2.955715644e+00,2.955298919e+00,2.955298920e+00,-2.755410146e-05,-9.173001478e-06,1.782612831e-05,8.951125768e-06
2.300000000e-08,3.000000000e+00,3.484228645e+00,3.484177606e+00,3.498486176e-03,2.960650948e+00,2.960186018e+00,2.960186019e+00,2.959820566e+00,2.959820567e+00,-2.520622604e-05,-8.588086699e-06,1.563700744e-05,7.481698782e-06
2.400000000e-08,3.000000000e+00,3.496053001e+00,3.496008137e+00,2.402475131e-03,2.963980025e+00,2.963556325e+00,2.963556326e+00,2.963229578e+00,2.963229579e+00,-2.347355028e-05,-7.982406539e-06,1.398444188e-05,6.372416298e-06
2.500000000e-08,3.000000000e+00,3.499999497e+00,3.499960916e+00,1.358062370e-03,2.966489246e+00,2.966096644e+00,2.966096644e+00,2.965799090e+00,2.965799090e+00,-2.220631008e-05,-7.358085464e-06,1.273801477e-05,5.535745169e-06
2.600000000e-08,3.000000000e+00,3.496053960e+00,3.496021747e+00,3.489879446e-04,2.968380735e+00,2.968011575e+00,2.968011576e+00,2.967736030e+00,2.967736030e+00,-2.129029484e-05,-6.717350813e-06,1.179837884e-05,4.905003432e-06
2.700000000e-08,3.000000000e+00,3.484230232e+00,3.484204015e+00,-1.723816035e-03,2.969791038e+00,2.969440105e+00,2.969440105e+00,2.969181661e+00,2.969181661e+00,-2.067816126e-05,-6.105908582e-06,1.106790159e-05,4.414948041e-06
2.800000000e-08,3.000000000e+00,3.464575259e+00,3.464554856e+00,-5.417756741e-03,2.970835051e+00,2.970498014e+00,2.970498014e+00,2.970252612e+00,2.970252612e+00,-2.029665360e-05,-5.504921767e-06,1.051099214e-05,4.041259287e-06
2.900000000e-08,3.000000000e+00,3.437166904e+00,3.437152345e+00,-1.068997714e-02,2.971609213e+00,2.971282439e+00,2.971282439e+00,2.971046673e+00,2.971046673e+00,-2.007729242e-05,-4.892977020e-06,1.009968380e-05,3.765130993e-06
3.000000000e-08,3.000000000e+00,3.402113776e+00,3.402105071e+00,-1.749672009e-02,2.972185361e+00,2.971866121e+00,2.971866121e+00,2.971637429e+00,2.971637429e+00,-1.997793853e-05,-4.272664547e-06,9.797762504e-06,3.562410021e-06
3.100000000e-08,3.000000000e+00,3.359553468e+00,3.359550598e+00,-2.579223796e-02,2.972617443e+00,2.972303686e+00,2.972303686e+00,2.972080145e+00,2.972080146e+00,-1.996678764e-05,-3.646537479e-06,9.577973540e-06,3.414803450e-06
3.200000000e-08,3.000000000e+00,3.309654687e+00,3.309657611e+00,-3.552749769e-02,2.972945952e+00,2.972636139e+00,2.972636140e+00,2.972416305e+00,2.972416305e+00,-2.001970844e-05,-3.017247859e-06,9.419862248e-06,3.308580661e-06
3.300000000e-08,3.000000000e+00,3.252614025e+00,3.252622679e+00,-4.665017339e-02,2.973201262e+00,2.972894239e+00,2.972894239e+00,2.972677026e+00,2.972677026e+00,-2.011836770e-05,-2.387307111e-06,9.308025493e-06,3.233402539e-06
3.400000000e-08,3.000000000e+00,3.188656597e+00,3.188670891e+00,-5.910404301e-02,2.973406114e+00,2.973101015e+00,2.973101015e+00,2.972885613e+00,2.972885613e+00,-2.024871588e-05,-1.759291211e-06,9.230851574e-06,3.181475226e-06
3.500000000e-08,3.000000000e+00,3.118034813e+00,3.118054636e+00,-7.282888048e-02,2.973577477e+00,2.973273656e+00,2.973273656e+00,2.973059458e+00,2.973059458e+00,-2.039995181e-05,-1.135728669e-06,9.179561316e-06,3.146906564e-06
3.600000000e-08,3.000000000e+00,3.041026980e+00,3.041052199e+00,-8.776047395e-02,2.973727947e+00,2.973424923e+00,2.973424923e+00,2.973211478e+00,2.973211478e+00,-2.056371845e-05,-5.191152424e-07,9.147503379e-06,3.125232897e-06
3.700000000e-08,3.000000000e+00,2.957937788e+00,2.957968248e+00,-1.038303451e-01,2.973866797e+00,2.973564218e+00,2.973564218e+00,2.973351193e+00,2.973351193e+00,-2.073349549e-05,8.805088447e-08,9.129630173e-06,3.113067209e-06
3.800000000e-08,3.000000000e+00,2.869094782e+00,2.869130307e+00,-1.209663092e-01,2.974000777e+00,2.973698382e+00,2.973698382e+00,2.973485536e+00,2.973485536e+00,-2.090420434e-05,6.834101407e-07,9.122096008e-06,3.107829445e-06
3.900000000e-08,3.000000000e+00,2.774848584e+00,2.774888978e+00,-1.390923305e-01,2.974134710e+00,2.973832315e+00,2.973832315e+00,2.973619473e+00,2.973619473e+00,-2.107181473e-05,1.264569070e-06,9.121976400e-06,3.107557838e-06
4.000000000e-08,3.000000000e+00,2.675571142e+00,2.675616189e+00,-1.581287998e-01,2.974271954e+00,2.973969429e+00,2.973969429e+00,2.973756471e+00,2.973756471e+00,-2.123313705e-05,1.829220726e-06,9.127038682e-06,3.110755111e-06
4.100000000e-08,3.000000000e+00,2.571654257e+00,2.571703724e+00,-1.779927751e-01,2.974414749e+00,2.974112007e+00,2.974112007e+00,2.973898851e+00,2.973898851e+00,-2.138562882e-05,2.375126275e-06,9.135579152e-06,3.116279039e-06
4.200000000e-08,3.000000000e+00,2.463508042e+00,2.463561678e+00,-1.985982525e-01,2.974564480e+00,2.974261466e+00,2.974261466e+00,2.974048060e+00,2.974048060e+00,-2.152725626e-05,2.900123109e-06,9.146298691e-06,3.123258956e-06
4.300000000e-08,3.000000000e+00,2.351559301e+00,2.351616838e+00,-2.198564633e-01,2.974721886e+00,2.974418571e+00,2.974418571e+00,2.974204887e+00,2.974204887e+00,-2.165639015e-05,3.402132850e-06,9.158208878e-06,3.131032718e-06
4.400000000e-08,3.000000000e+00,2.236249845e+00,2.236311027e+00,-2.416063375e-01,2.974888246e+00,2.974584580e+00,2.974584580e+00,2.974370575e+00,2.974370575e+00,-2.178322166e-05,3.881961045e-06,9.172020068e-06,3.140059553e-06
4.500000000e-08,3.000000000e+00,2.118034747e+00,2.118101815e+00,-2.574048508e-01,2.975156474e+00,2.974849162e+00,2.974849162e+00,2.974631795e+00,2.974631795e+00,-2.293929280e-05,4.588713515e-06,9.317624952e-06,3.235852613e-06
4.600000000e-08,3.000000000e+00,1.997380548e+00,1.997457525e+00,-2.563180837e-01,2.975638552e+00,2.975323426e+00,2.975323426e+00,2.975098823e+00,2.975098823e+00,-2.580193820e-05,5.700232439e-06,9.629683903e-06,3.442128681e-06
4.700000000e-08,3.000000000e+00,1.874763416e+00,1.874854470e+00,-2.270179483e-01,2.976393541e+00,2.976068251e+00,2.976068251e+00,2.975834204e+00,2.975834204e+00,-3.035512640e-05,7.230694064e-06,1.003553424e-05,3.711217946e-06
4.800000000e-08,3.000000000e+00,1.750666905e+00,1.750776237e+00,-1.580752900e-01,2.977448412e+00,2.977111841e+00,2.977111840e+00,2.976867301e+00,2.976867301e+00,-3.656881080e-05,9.182560584e-06,1.048574206e-05,4.009966907e-06
4.900000000e-08,3.000000000e+00,1.625581480e+00,1.625713176e+00,-3.832113147e-02,2.978813812e+00,2.978465490e+00,2.978465490e+00,2.978210020e+00,2.978210020e+00,-4.438859135e-05,1.154396136e-05,1.095443421e-05,4.320932201e-06
5.000000000e-08,3.000000000e+00,1.500000443e+00,1.500142138e+00,1.022750537e-01,2.979852382e+00,2.979514846e+00,2.979514846e+00,2.979269225e+00,2.979269225e+00,-5.516964184e-05,1.266944010e-05,1.052194415e-05,4.038479472e-06
5.100000000e-08,3.000000000e+00,1.374419404e+00,1.374577861e+00,2.816506924e-01,2.980946501e+00,2.980607508e+00,2.980607508e+00,2.980360682e+00,2.980360682e+00,-6.749250238e-05,1.447122574e-05,1.057912185e-05,4.071820911e-06
5.200000000e-08,3.000000000e+00,1.249333776e+00,1.249531516e+00,5.571457439e-01,2.983013009e+00,2.982639363e+00,2.982639362e+00,2.982360600e+00,2.982360599e+00,-7.956005182e-05,1.852467777e-05,1.196320849e-05,4.982280380e-06
5.300000000e-08,3.000000000e+00,1.125237612e+00,1.125481466e+00,9.468163040e-01,2.985116728e+00,2.984739597e+00,2.984739597e+00,2.984457300e+00,2.984457300e+00,-9.228759242e-05,2.326014815e-05,1.210047856e-05,5.081162240e-06
5.400000000e-08,3.000000000e+00,1.002620464e+00,1.002905219e+00,1.438624679e+00,2.959573550e+00,2.960176055e+00,2.960176074e+00,2.960796931e+00,2.960796944e+00,-1.116417815e-04,2.747295850e-05,-2.706034208e-05,-2.069955569e-05
5.500000000e-08,3.000000000e+00,8.819662454e-01,8.822683522e-01,1.974673093e+00,2.852134421e+00,2.855698109e+00,2.855698169e+00,2.859058867e+00,2.859058906e+00,-1.209064823e-04,2.932870857e-05,-1.454032438e-04,-9.887902417e-05
