time,V(103),V(101),V(102),V(107),V(104),V(115),V(116),V(117),V(118),I(VDD),I(Vin),I(L1),I(L2)
1.010000000e-07,3.000000000e+00,1.625580596e+00,1.625412249e+00,2.709374702e+00,-7.551553792e-03,-7.439333259e-03,-7.439332478e-03,-7.335192271e-03,-7.335191755e-03,-2.123980518e-05,-1.846028972e-05,-4.481382003e-06,-2.968099298e-06
1.020000000e-07,3.000000000e+00,1.750666026e+00,1.750463448e+00,2.496796789e+00,-1.256161332e-02,-1.237690438e-02,-1.237690293e-02,-1.220558446e-02,-1.220558351e-02,-2.119581285e-05,-2.200839564e-05,-7.375980784e-06,-4.882607783e-06
1.030000000e-07,3.000000000e+00,1.874762388e+00,1.874512826e+00,2.167854672e+00,-1.968699010e-02,-1.942269355e-02,-1.942269196e-02,-1.917733785e-02,-1.917733680e-02,-1.753722137e-05,-2.683094604e-05,-1.055243942e-05,-6.990940081e-06
1.040000000e-07,3.000000000e+00,1.997379536e+00,1.997087411e+00,1.732617776e+00,-5.729083509e-03,-6.206942288e-03,-6.206957124e-03,-6.645118781e-03,-6.645128539e-03,-5.321470923e-05,-3.120995433e-05,1.912055811e-05,1.252554960e-05
1.050000000e-07,3.000000000e+00,2.118033755e+00,2.117706897e+00,1.209656944e+00,7.418682124e-02,7.132736569e-02,7.132731810e-02,6.868592351e-02,6.868589208e-02,-1.717842190e-04,-3.480378563e-05,1.143068945e-04,7.539973083e-05
1.060000000e-07,3.000000000e+00,2.236248876e+00,2.235948319e+00,7.506469479e-01,2.593203533e-01,2.525879837e-01,2.525879063e-01,2.463523329e-01,2.463522816e-01,-3.384734739e-04,-3.229197012e-05,2.690421976e-04,1.779128880e-04
1.070000000e-07,3.000000000e+00,2.351558460e+00,2.351320523e+00,4.453313034e-01,5.288157193e-01,5.188546377e-01,5.188545733e-01,5.096050489e-01,5.096050060e-01,-4.772726246e-04,-2.614531076e-05,3.979244089e-04,2.637625190e-04
1.080000000e-07,3.000000000e+00,2.463507229e+00,2.463322250e+00,2.684727148e-01,8.502293751e-01,8.382179490e-01,8.382179082e-01,8.270494503e-01,8.270494230e-01,-5.633898371e-04,-2.096133414e-05,4.796188243e-04,3.182717474e-04
1.090000000e-07,3.000000000e+00,2.571653475e+00,2.571502806e+00,1.724512873e-01,1.191695977e+00,1.178826033e+00,1.178826016e+00,1.166851261e+00,1.166851249e+00,-5.977098516e-04,-1.763847497e-05,5.136189183e-04,3.409690165e-04
1.100000000e-07,3.000000000e+00,2.675570394e+00,2.675439319e+00,1.195246414e-01,1.516245991e+00,1.503894200e+00,1.503894210e+00,1.492395675e+00,1.492395682e+00,-5.710858554e-04,-1.578300992e-05,4.925677595e-04,3.270371908e-04
1.110000000e-07,3.000000000e+00,2.774847874e+00,2.774728200e+00,8.828704910e-02,1.804704006e+00,1.793630261e+00,1.793630287e+00,1.783322986e+00,1.783323003e+00,-5.111038095e-04,-1.474220136e-05,4.411561567e-04,2.927109917e-04
1.120000000e-07,3.000000000e+00,2.869094029e+00,2.868981807e+00,6.796435274e-02,2.050029320e+00,2.040530141e+00,2.040530172e+00,2.031694916e+00,2.031694937e+00,-4.383231840e-04,-1.409129009e-05,3.779266428e-04,2.504041939e-04
1.130000000e-07,3.000000000e+00,2.957937082e+00,2.957830633e+00,5.348343403e-02,2.252278426e+00,2.244372934e+00,2.244372966e+00,2.237029642e+00,2.237029663e+00,-3.650587138e-04,-1.360292672e-05,3.139752771e-04,2.075722378e-04
1.140000000e-07,3.000000000e+00,3.041026324e+00,3.040925052e+00,4.251439452e-02,2.415262619e+00,2.408820935e+00,2.408820964e+00,2.402849071e+00,2.402849091e+00,-2.979354864e-04,-1.316828141e-05,2.552585417e-04,1.682226749e-04
1.150000000e-07,3.000000000e+00,3.118033717e+00,3.117937498e+00,3.394048723e-02,2.544398394e+00,2.539224825e+00,2.539224850e+00,2.534441678e+00,2.534441695e+00,-2.398713324e-04,-1.273994820e-05,2.044035303e-04,1.341276307e-04
1.160000000e-07,3.000000000e+00,3.188655602e+00,3.188564498e+00,2.715051445e-02,2.645423294e+00,2.641306498e+00,2.641306520e+00,2.637514334e+00,2.637514349e+00,-1.915376812e-04,-1.229900200e-05,1.620305183e-04,1.057106327e-04
1.170000000e-07,3.000000000e+00,3.252613134e+00,3.252527276e+00,2.174366532e-02,2.723703836e+00,2.720444166e+00,2.720444183e+00,2.717455990e+00,2.717456002e+00,-1.523774823e-04,-1.183845748e-05,1.276663847e-04,8.265947286e-05
1.180000000e-07,3.000000000e+00,3.309653739e+00,3.309573276e+00,1.741838637e-02,2.783924225e+00,2.781346364e+00,2.781346378e+00,2.778997864e+00,2.778997874e+00,-1.212655352e-04,-1.135595239e-05,1.003330781e-04,6.432138252e-05
1.190000000e-07,3.000000000e+00,3.359552652e+00,3.359477739e+00,1.393383335e-02,2.829999667e+00,2.827956524e+00,2.827956535e+00,2.826109777e+00,2.826109784e+00,-9.690337207e-05,-1.085079996e-05,7.889775527e-05,4.993841493e-05
1.200000000e-07,3.000000000e+00,3.402112536e+00,3.402043328e+00,1.109600762e-02,2.865107767e+00,2.863479619e+00,2.863479627e+00,2.862022327e+00,2.862022333e+00,-7.803387716e-05,-1.032296417e-05,6.226244096e-05,3.877512098e-05
1.210000000e-07,3.000000000e+00,3.437165913e+00,3.437102556e+00,8.750477555e-03,2.891776311e+00,2.890467753e+00,2.890467759e+00,2.889310410e+00,2.889310414e+00,-6.354081530e-05,-9.772869017e-06,4.945186214e-05,3.017781080e-05
1.220000000e-07,3.000000000e+00,3.464574182e+00,3.464516815e+00,6.776221862e-03,2.911986600e+00,2.910922739e+00,2.910922744e+00,2.909995070e+00,2.909995073e+00,-5.248294455e-05,-9.201235741e-06,3.964353952e-05,2.359497213e-05
1.230000000e-07,3.000000000e+00,3.484228986e+00,3.484177736e+00,5.079746884e-03,2.927275378e+00,2.926398057e+00,2.926398061e+00,2.925645486e+00,2.925645489e+00,-4.409227870e-05,-8.609187596e-06,3.216641894e-05,1.857649971e-05
1.240000000e-07,3.000000000e+00,3.496053001e+00,3.496007980e+00,3.589450985e-03,2.938825651e+00,2.938090074e+00,2.938090076e+00,2.937470555e+00,2.937470557e+00,-3.775591620e-05,-7.998155584e-06,2.648500902e-05,1.476314237e-05
1.250000000e-07,3.000000000e+00,3.499999848e+00,3.499961150e+00,2.250678445e-03,2.947543092e+00,2.946914955e+00,2.946914957e+00,2.946396292e+00,2.946396294e+00,-3.299221612e-05,-7.369804289e-06,2.217856589e-05,1.187258907e-05
1.260000000e-07,3.000000000e+00,3.496053734e+00,3.496021433e+00,1.021793132e-03,2.954117445e+00,2.953570592e+00,2.953570594e+00,2.953128235e+00,2.953128236e+00,-2.942723119e-05,-6.726079194e-06,1.892052346e-05,9.685696614e-06
1.270000000e-07,3.000000000e+00,3.484229859e+00,3.484203922e+00,-3.492886146e-04,2.959070391e+00,2.958585055e+00,2.958585057e+00,2.958200446e+00,2.958200447e+00,-2.678079652e-05,-6.077865909e-06,1.645481620e-05,8.030670961e-06
1.280000000e-07,3.000000000e+00,3.464575259e+00,3.464555065e+00,-3.519924495e-03,2.962778071e+00,2.962339931e+00,2.962339932e+00,2.961999614e+00,2.961999615e+00,-2.488731430e-05,-5.484012841e-06,1.456323709e-05,6.761363176e-06
1.290000000e-07,3.000000000e+00,3.437166904e+00,3.437152501e+00,-8.402907833e-03,2.965555647e+00,2.965152831e+00,2.965152832e+00,2.964845678e+00,2.964845678e+00,-2.353031271e-05,-4.877402983e-06,1.314747750e-05,5.810989302e-06
1.300000000e-07,3.000000000e+00,3.402113776e+00,3.402105186e+00,-1.492124766e-02,2.967638236e+00,2.967261815e+00,2.967261816e+00,2.966979444e+00,2.966979444e+00,-2.257471605e-05,-4.261124980e-06,1.208956884e-05,5.100805642e-06
1.310000000e-07,3.000000000e+00,3.359553468e+00,3.359550683e+00,-2.300424431e-02,2.969202654e+00,2.968845916e+00,2.968845916e+00,2.968582024e+00,2.968582024e+00,-2.191898607e-05,-3.638034152e-06,1.130067771e-05,4.571187439e-06
1.320000000e-07,3.000000000e+00,3.309654687e+00,3.309657673e+00,-3.258408888e-02,2.970381846e+00,2.970039741e+00,2.970039742e+00,2.969789591e+00,2.969789591e+00,-2.148664070e-05,-3.011029388e-06,1.071412643e-05,4.177375037e-06
1.330000000e-07,3.000000000e+00,3.252614025e+00,3.252622724e+00,-4.359431377e-02,2.971275822e+00,2.970944555e+00,2.970944555e+00,2.970704580e+00,2.970704581e+00,-2.121999982e-05,-2.382807676e-06,1.027977067e-05,3.885708024e-06
1.340000000e-07,3.000000000e+00,3.188656597e+00,3.188670923e+00,-5.596804367e-02,2.971959785e+00,2.971636498e+00,2.971636498e+00,2.971404019e+00,2.971404019e+00,-2.107542171e-05,-1.756084568e-06,9.959870470e-06,3.670853149e-06
1.350000000e-07,3.000000000e+00,3.118034813e+00,3.118054658e+00,-6.963702517e-02,2.972490233e+00,2.972172780e+00,2.972172780e+00,2.971945781e+00,2.971945782e+00,-2.101983115e-05,-1.133493637e-06,9.725980056e-06,3.513716550e-06
1.360000000e-07,3.000000000e+00,3.041026980e+00,3.041052214e+00,-8.453099702e-02,2.972909555e+00,2.972596324e+00,2.972596324e+00,2.972373295e+00,2.972373295e+00,-2.102809217e-05,-5.176097951e-07,9.556633365e-06,3.399889924e-06
1.370000000e-07,3.000000000e+00,2.957937788e+00,2.957968257e+00,-1.005769231e-01,2.973249471e+00,2.972939257e+00,2.972939257e+00,2.972719065e+00,2.972719065e+00,-2.108103929e-05,8.900912294e-08,9.435618054e-06,3.318491791e-06
1.380000000e-07,3.000000000e+00,2.869094782e+00,2.869130312e+00,-1.176991851e-01,2.973533643e+00,2.973225545e+00,2.973225545e+00,2.973007345e+00,2.973007345e+00,-2.116405689e-05,6.839585545e-07,9.350667984e-06,3.261289839e-06
1.390000000e-07,3.000000000e+00,2.774848584e+00,2.774888981e+00,-1.358191617e-01,2.973779631e+00,2.973472981e+00,2.973472981e+00,2.973256145e+00,2.973256145e+00,-2.126592012e-05,1.264811103e-06,9.292506481e-06,3.222058416e-06
1.400000000e-07,3.000000000e+00,2.675571142e+00,2.675616190e+00,-1.548552984e-01,2.974000378e+00,2.973694683e+00,2.973694683e+00,2.973478748e+00,2.973478748e+00,-2.137801098e-05,1.829234217e-06,9.254108119e-06,3.196083156e-06
1.410000000e-07,3.000000000e+00,2.571654257e+00,2.571703723e+00,-1.747231904e-01,2.974205330e+00,2.973900228e+00,2.973900228e+00,2.973684857e+00,2.973684857e+00,-2.149369126e-05,2.374969742e-06,9.230153099e-06,3.179794590e-06
1.420000000e-07,3.000000000e+00,2.463508042e+00,2.463561676e+00,-1.953357356e-01,2.974401286e+00,2.974096518e+00,2.974096518e+00,2.973881465e+00,2.973881465e+00,-2.160783764e-05,2.899840501e-06,9.216614576e-06,3.170491130e-06
1.430000000e-07,3.000000000e+00,2.351559301e+00,2.351616835e+00,-2.166033414e-01,2.974593046e+00,2.974288427e+00,2.974288427e+00,2.974073520e+00,2.974073520e+00,-2.171649135e-05,3.401757130e-06,9.210447411e-06,3.166130120e-06
1.440000000e-07,3.000000000e+00,2.236249845e+00,2.236311023e+00,-2.383643303e-01,2.974784930e+00,2.974480297e+00,2.974480297e+00,2.974265384e+00,2.974265384e+00,-2.182808584e-05,3.881516510e-06,9.210811364e-06,3.166130012e-06
1.450000000e-07,3.000000000e+00,2.118034747e+00,2.118101809e+00,-2.541761032e-01,2.975072091e+00,2.974764062e+00,2.974764062e+00,2.974546022e+00,2.974546021e+00,-2.297265686e-05,4.588183205e-06,9.346378159e-06,3.255185125e-06
1.460000000e-07,3.000000000e+00,1.997380548e+00,1.997457518e+00,-2.531058902e-01,2.975568159e+00,2.975252505e+00,2.975252505e+00,2.975027405e+00,2.975027405e+00,-2.582644069e-05,5.699570381e-06,9.650914624e-06,3.456412319e-06
1.470000000e-07,3.000000000e+00,1.874763416e+00,1.874854462e+00,-2.238268694e-01,2.976333430e+00,2.976007752e+00,2.976007752e+00,2.975773340e+00,2.975773340e+00,-3.037267489e-05,7.229849630e-06,1.005111759e-05,3.721711557e-06
1.480000000e-07,3.000000000e+00,1.750666905e+00,1.750776227e+00,-1.549112049e-01,2.977395783e+00,2.977058930e+00,2.977058930e+00,2.976814125e+00,2.976814125e+00,-3.658076094e-05,9.181481032e-06,1.049706579e-05,4.017602312e-06
1.490000000e-07,3.000000000e+00,1.625581480e+00,1.625713162e+00,-3.519122584e-02,2.978766527e+00,2.978418004e+00,2.978418003e+00,2.978162344e+00,2.978162344e+00,-4.439587270e-05,1.154259442e-05,1.096250369e-05,4.326384805e-06
1.500000000e-07,3.000000000e+00,1.500000443e+00,1.500141791e+00,1.045380584e-01,2.979795606e+00,2.979458399e+00,2.979458399e+00,2.979213079e+00,2.979213079e+00,-5.520228977e-05,1.263479103e-05,1.050882429e-05,4.029952442e-06
1.510000000e-07,3.000000000e+00,1.374419404e+00,1.374577715e+00,2.835501268e-01,2.980892362e+00,2.980553299e+00,2.980553299e+00,2.980306411e+00,2.980306411e+00,-6.751295658e-05,1.445666687e-05,1.058195414e-05,4.073642573e-06
1.520000000e-07,3.000000000e+00,1.249333776e+00,1.249531498e+00,5.590021408e-01,2.982965445e+00,2.982591567e+00,2.982591566e+00,2.982312588e+00,2.982312587e+00,-7.956733336e-05,1.852294600e-05,1.197252932e-05,4.988490857e-06
1.530000000e-07,3.000000000e+00,1.125237612e+00,1.125481444e+00,9.486188317e-01,2.985040587e+00,2.984664461e+00,2.984664461e+00,2.984383087e+00,2.984383087e+00,-9.229966831e-05,2.325799374e-05,1.206038350e-05,5.054886350e-06
1.540000000e-07,3.000000000e+00,1.002620464e+00,1.002905185e+00,1.440340999e+00,2.959327744e+00,2.959936326e+00,2.959936346e+00,2.960562816e+00,2.960562829e+00,-1.116658673e-04,2.746951126e-05,-2.730324763e-05,-2.085969128e-05
1.550000000e-07,3.000000000e+00,8.819662454e-01,8.822681903e-01,1.975984483e+00,2.851601453e+00,2.855175690e+00,2.855175749e+00,2.858546232e+00,2.858546271e+00,-1.208137626e-04,2.931252170e-05,-1.458246580e-04,-9.915805741e-05
1.560000000e-07,3.000000000e+00,7.637511241e-01,7.640002633e-01,2.381395229e+00,2.644382423e+00,2.651662522e+00,2.651662596e+00,2.658478867e+00,2.658478916e+00,-9.374037620e-05,2.415017292e-05,-2.938556108e-04,-1.974090741e-04
1.570000000e-07,3.000000000e+00,6.484415400e-01,6.486274602e-01,2.631665216e+00,2.368121857e+00,2.378080316e+00,2.378080370e+00,2.387400986e+00,2.387401021e+00,-6.865314815e-05,1.794358217e-05,-4.007164477e-04,-2.686907073e-04
1.580000000e-07,3.000000000e+00,5.364927713e-01,5.366326134e-01,2.770696028e+00,2.052699289e+00,2.064225213e+00,2.064225245e+00,2.075013564e+00,2.075013585e+00,-5.013290284e-05,1.344771535e-05,-4.631011820e-04,-3.103127122e-04
1.590000000e-07,3.000000000e+00,4.283465255e-01,4.284584215e-01,2.844798658e+00,1.725771724e+00,1.737825001e+00,1.737825012e+00,1.749109238e+00,1.749109245e+00,-3.875087357e-05,1.076125111e-05,-4.838689140e-04,-3.241555643e-04
1.600000000e-07,3.000000000e+00,3.244296063e-01,3.245259289e-01,2.885852838e+00,1.417690664e+00,1.429137059e+00,1.429137046e+00,1.439859992e+00,1.439859984e+00,-3.183483230e-05,9.307823471e-06,-4.592849083e-04,-3.078097483e-04
1.610000000e-07,3.000000000e+00,2.251522132e-01,2.252393564e-01,2.910768358e+00,1.143854130e+00,1.154081297e+00,1.154081273e+00,1.163666606e+00,1.163666589e+00,-2.730626807e-05,8.489174356e-06,-4.102407669e-04,-2.750303284e-04
1.620000000e-07,3.000000000e+00,1.309059711e-01,1.309868301e-01,2.927685103e+00,9.099924148e-01,9.187588911e-01,9.187588618e-01,9.269780902e-01,9.269780706e-01,-2.398236098e-05,7.954996470e-06,-3.515778123e-04,-2.357620769e-04
1.630000000e-07,3.000000000e+00,4.206291758e-02,4.213861270e-02,2.940279538e+00,7.159860550e-01,7.232784248e-01,7.232783953e-01,7.301174264e-01,7.301174065e-01,-2.129846017e-05,7.527449177e-06,-2.924180718e-04,-1.961310060e-04
1.640000000e-07,3.000000000e+00,-4.102632429e-02,-4.095548114e-02,2.950174980e+00,5.584973224e-01,5.644293215e-01,5.644292942e-01,5.699937371e-01,5.699937188e-01,-1.901657931e-05,7.125341773e-06,-2.378443933e-04,-1.595540761e-04
1.650000000e-07,3.000000000e+00,-1.180337170e-01,-1.179677444e-01,2.958132053e+00,4.327347235e-01,4.374792310e-01,4.374792072e-01,4.419305049e-01,4.419304889e-01,-1.704169119e-05,6.715290329e-06,-1.902177785e-04,-1.276218644e-04
1.660000000e-07,3.000000000e+00,-1.886556018e-01,-1.885946367e-01,2.964575480e+00,3.335531160e-01,3.372993737e-01,3.372993537e-01,3.408145701e-01,3.408145567e-01,-1.532930925e-05,6.285161556e-06,-1.501876064e-04,-1.007755696e-04
1.670000000e-07,3.000000000e+00,-2.526131344e-01,-2.525573481e-01,2.969801267e+00,2.560749565e-01,2.590041615e-01,2.590041451e-01,2.617529901e-01,2.617529791e-01,-1.384736499e-05,5.831239711e-06,-1.174272053e-04,-7.880018140e-05
1.680000000e-07,3.000000000e+00,-3.096537390e-01,-3.096033074e-01,2.974047210e+00,1.959884048e-01,1.982617158e-01,1.982617026e-01,2.003952148e-01,2.003952060e-01,-1.256458712e-05,5.352805683e-06,-9.113070066e-05,-6.115788518e-05
1.690000000e-07,3.000000000e+00,-3.595526516e-01,-3.595077464e-01,2.977512889e+00,1.496462574e-01,1.514005201e-01,1.514005097e-01,1.530469977e-01,1.530469907e-01,-1.144932968e-05,4.850073058e-06,-7.032190577e-05,-4.719556193e-05
1.700000000e-07,3.000000000e+00,-4.021125361e-01,-4.020733217e-01,2.980364660e+00,1.140551566e-01,1.154030144e-01,1.154030063e-01,1.166681195e-01,1.166681141e-01,-1.047132580e-05,4.323550907e-06,-5.402971475e-05,-3.626276086e-05
1.710000000e-07,3.000000000e+00,-4.371659133e-01,-4.371325448e-01,2.982738217e+00,8.680862707e-02,8.784080005e-02,8.784079372e-02,8.880963869e-02,8.880963444e-02,-9.603445357e-06,3.774019622e-06,-4.137476018e-05,-2.777009437e-05
1.720000000e-07,3.000000000e+00,-4.645741817e-01,-4.645468030e-01,2.984741892e+00,6.600153822e-02,6.678996014e-02,6.678995525e-02,6.753002594e-02,6.753002266e-02,-8.822584743e-06,3.202442484e-06,-3.160366675e-05,-2.121240674e-05
1.730000000e-07,3.000000000e+00,-4.842289858e-01,-4.842077270e-01,2.986460633e+00,5.014211779e-02,5.074318258e-02,5.074317882e-02,5.130739515e-02,5.130739263e-02,-8.109926524e-06,2.610108497e-06,-2.409333485e-05,-1.617177397e-05
1.740000000e-07,3.000000000e+00,-4.960532061e-01,-4.960381811e-01,2.987960322e+00,3.807125726e-02,3.852880278e-02,3.852879990e-02,3.895830307e-02,3.895830114e-02,-7.450611043e-06,1.998550096e-06,-1.834034981e-05,-1.231047728e-05
1.750000000e-07,3.000000000e+00,-4.999998478e-01,-4.999911526e-01,2.989291662e+00,2.889437972e-02,2.924227486e-02,2.924227266e-02,2.956885034e-02,2.956884886e-02,-6.833242551e-06,1.369521108e-06,-1.394504767e-05,-9.360359653e-06
1.760000000e-07,3.000000000e+00,-4.960537336e-01,-4.960514438e-01,2.990493556e+00,2.192377659e-02,2.218806485e-02,2.218806318e-02,2.243615984e-02,2.243615872e-02,-6.249335304e-06,7.250301555e-07,-1.059371844e-05,-7.110912347e-06
1.770000000e-07,3.000000000e+00,-4.842298586e-01,-4.842340293e-01,2.991596025e+00,1.663222832e-02,1.683285993e-02,1.683285865e-02,1.702120037e-02,1.702119951e-02,-5.692667532e-06,6.715920020e-08,-8.042097319e-06,-5.398213088e-06
1.780000000e-07,3.000000000e+00,-4.645752594e-01,-4.645859220e-01,2.992622053e+00,1.261760144e-02,1.276982495e-02,1.276982398e-02,1.291272406e-02,1.291272341e-02,-5.158994174e-06,-6.016810478e-07,-6.101710254e-06,-4.095772205e-06
1.790000000e-07,3.000000000e+00,-4.371669036e-01,-4.371840665e-01,2.993589654e+00,9.573002084e-03,9.688445931e-03,9.688445194e-03,9.796819133e-03,9.796818639e-03,-4.645412670e-06,-1.279125924e-06,-4.627442311e-06,-3.106195094e-06
1.800000000e-07,3.000000000e+00,-4.021137761e-01,-4.021374231e-01,2.994512927e+00,7.264898659e-03,7.352418151e-03,7.352417591e-03,7.434577922e-03,7.434577547e-03,-4.150199031e-06,-1.962595019e-06,-3.508132087e-06,-2.354872603e-06
1.810000000e-07,3.000000000e+00,-3.595534683e-01,-3.595835597e-01,2.995403280e+00,5.515619328e-03,5.581948933e-03,5.581948508e-03,5.644217007e-03,5.644216721e-03,-3.672384762e-06,-2.649590184e-06,-2.658766167e-06,-1.784744165e-06
1.820000000e-07,3.000000000e+00,-3.096546870e-01,-3.096911578e-01,2.996269947e+00,4.190213469e-03,4.240470482e-03,4.240470160e-03,4.287650578e-03,4.287650361e-03,-3.211714991e-06,-3.337418935e-06,-2.014520975e-06,-1.352299595e-06
1.830000000e-07,3.000000000e+00,-2.526140255e-01,-2.526567865e-01,2.997120771e+00,3.186205415e-03,3.224275133e-03,3.224274889e-03,3.260014502e-03,3.260014338e-03,-2.768334621e-06,-4.023492089e-06,-1.526013004e-06,-1.024391833e-06
1.840000000e-07,3.000000000e+00,-1.886565971e-01,-1.887055349e-01,2.997962506e+00,2.425838532e-03,2.454669208e-03,2.454669023e-03,2.481735485e-03,2.481735361e-03,-2.342776755e-06,-4.705121422e-06,-1.155681686e-06,-7.758092301e-07
1.850000000e-07,3.000000000e+00,-1.180348126e-01,-1.180897894e-01,2.998801231e+00,1.850141157e-03,1.871968885e-03,1.871968745e-03,1.892461190e-03,1.892461095e-03,-1.935812354e-06,-5.379645304e-06,-8.749810808e-07,-5.873908830e-07
1.860000000e-07,3.000000000e+00,-4.102697962e-02,-4.108783411e-02,2.999642644e+00,1.414404008e-03,1.430924027e-03,1.430923921e-03,1.446433762e-03,1.446433690e-03,-1.548382962e-06,-6.044421145e-06,-6.622316758e-07,-4.445847521e-07
1.870000000e-07,3.000000000e+00,4.206221207e-02,4.199594369e-02,3.001190134e+00,1.097366704e-03,1.109416553e-03,1.109416463e-03,1.120737481e-03,1.120737421e-03,-1.307364580e-06,-6.668900091e-06,-4.831033830e-07,-3.245783934e-07
1.880000000e-07,3.000000000e+00,1.309052181e-01,1.308339207e-01,3.003894417e+00,8.776854153e-04,8.860585529e-04,8.860584793e-04,8.939340952e-04,8.939340458e-04,-1.169143933e-06,-7.260648214e-06,-3.358115619e-07,-2.259115311e-07
1.890000000e-07,3.000000000e+00,2.251514158e-01,2.250752837e-01,3.007674830e+00,7.297786077e-04,7.354180046e-04,7.354179498e-04,7.407283504e-04,7.407283137e-04,-1.039552725e-06,-7.838364105e-06,-2.263112939e-07,-1.524664590e-07
1.900000000e-07,3.000000000e+00,3.244288585e-01,3.243481056e-01,3.012448238e+00,6.347177119e-04,6.383414006e-04,6.383413603e-04,6.417603511e-04,6.417603240e-04,-9.190628339e-07,-8.399713818e-06,-1.455858886e-07,-9.832721230e-08
1.910000000e-07,3.000000000e+00,4.283457433e-01,4.282606025e-01,3.018128870e+00,5.781216857e-04,5.802755283e-04,5.802754989e-04,5.823153343e-04,5.823153146e-04,-8.081240627e-07,-8.942430526e-06,-8.673398034e-08,-5.886332906e-08
1.920000000e-07,3.000000000e+00,5.364919579e-01,5.364026796e-01,3.024628425e+00,5.490454854e-04,5.501450552e-04,5.501450341e-04,5.511956525e-04,5.511956383e-04,-7.071532982e-07,-9.464330487e-06,-4.453294000e-08,-3.056886205e-08
1.930000000e-07,3.000000000e+00,6.484406986e-01,6.483475498e-01,3.031856236e+00,5.391508896e-04,5.395129335e-04,5.395129187e-04,5.398714806e-04,5.398714707e-04,-6.165316643e-07,-9.963319269e-06,-1.502126581e-08,-1.078449584e-08
1.940000000e-07,3.000000000e+00,7.637501548e-01,7.636534183e-01,3.039719496e+00,5.420827105e-04,5.419488142e-04,5.419488043e-04,5.418419127e-04,5.418419060e-04,-5.366021411e-07,-1.043739826e-05,4.813904006e-09,2.512204602e-09
1.950000000e-07,3.000000000e+00,8.819652528e-01,8.818648280e-01,3.047128474e+00,5.350440163e-04,5.352349012e-04,5.352349077e-04,5.354221201e-04,5.354221243e-04,-4.875764507e-07,-1.092444092e-05,-8.170630411e-09,-5.884346965e-09
1.960000000e-07,3.000000000e+00,1.002619452e+00,1.002512047e+00,3.044975353e+00,3.571079026e-04,3.633758404e-04,3.633759618e-04,3.691689788e-04,3.691690588e-04,-6.301019202e-07,-1.174309261e-05,-2.510808872e-07,-1.658839377e-07
1.970000000e-07,3.000000000e+00,1.125236584e+00,1.125118078e+00,3.022051342e+00,-1.947173482e-04,-1.748332567e-04,-1.748329847e-04,-1.564261708e-04,-1.564259908e-04,-1.006344382e-06,-1.297586004e-05,-7.951888260e-07,-5.257525422e-07
1.980000000e-07,3.000000000e+00,1.249332737e+00,1.249204061e+00,2.979767040e+00,-1.198517414e-03,-1.161783847e-03,-1.161783510e-03,-1.127709537e-03,-1.127709313e-03,-3.943696548e-06,-1.411685639e-05,-1.468180886e-06,-9.724144038e-07
1.990000000e-07,3.000000000e+00,1.374418158e+00,1.374281480e+00,2.922583807e+00,-2.539559197e-03,-2.489814947e-03,-2.489814688e-03,-2.443587681e-03,-2.443587508e-03,-1.000555214e-05,-1.504229694e-05,-1.987280171e-06,-1.318328014e-06
2.000000000e-07,3.000000000e+00,1.499999557e+00,1.499850462e+00,2.838482433e+00,-4.515508304e-03,-4.442387362e-03,-4.442386895e-03,-4.374498639e-03,-4.374498330e-03,-1.618384324e-05,-1.640946697e-05,-2.920395296e-06,-1.935289964e-06
2.010000000e-07,3.000000000e+00,1.625580596e+00,1.625412249e+00,2.709374755e+00,-7.551617794e-03,-7.439397250e-03,-7.439396470e-03,-7.335256254e-03,-7.335255738e-03,-2.123980307e-05,-1.846029022e-05,-4.481382361e-06,-2.968099476e-06
2.020000000e-07,3.000000000e+00,1.750666026e+00,1.750463448e+00,2.496796841e+00,-1.256167715e-02,-1.237696821e-02,-1.237696676e-02,-1.220564829e-02,-1.220564734e-02,-2.119581283e-05,-2.200839569e-05,-7.375980740e-06,-4.882607693e-06
2.030000000e-07,3.000000000e+00,1.874762388e+00,1.874512826e+00,2.167854723e+00,-1.968705453e-02,-1.942275795e-02,-1.942275636e-02,-1.917740223e-02,-1.917740117e-02,-1.753722014e-05,-2.683094610e-05,-1.055244044e-05,-6.990940692e-06
2.040000000e-07,3.000000000e+00,1.997379536e+00,1.997087411e+00,1.732617824e+00,-5.729152222e-03,-6.207010841e-03,-6.207025678e-03,-6.645187189e-03,-6.645196947e-03,-5.321470195e-05,-3.120995442e-05,1.912055179e-05,1.252554550e-05
2.050000000e-07,3.000000000e+00,2.118033755e+00,2.117706897e+00,1.209656988e+00,7.418674796e-02,7.132729259e-02,7.132724500e-02,6.868585058e-02,6.868581914e-02,-1.717842061e-04,-3.480378582e-05,1.143068875e-04,7.539972623e-05
2.060000000e-07,3.000000000e+00,2.236248876e+00,2.235948319e+00,7.506469768e-01,2.593202731e-01,2.525879037e-01,2.525878263e-01,2.463522532e-01,2.463522019e-01,-3.384734627e-04,-3.229197071e-05,2.690421872e-04,1.779128812e-04
2.070000000e-07,3.000000000e+00,2.351558460e+00,2.351320523e+00,4.453313197e-01,5.288156353e-01,5.188545538e-01,5.188544894e-01,5.096049652e-01,5.096049223e-01,-4.772726181e-04,-2.614531127e-05,3.979244027e-04,2.637625149e-04
